ID,Notaatio,Luokan nimi suomeksi,Luokan nimi ruotsiksi,Luokan nimi englanniksi,Kuvaus suomeksi,Kuvaus ruotsiksi,Kuvaus englanniksi
v2001,KR1,Kansalaiset,Medborgare,Citizens,,,
v2002,KR1.1,Ikäihmiset,De äldre,Seniors,,,
v2003,KR1.2,Lapset ja lapsiperheet,Barn och barnfamiljer,Children and families with children,,,
v2004,KR1.3,Nuoret,De unga,Young people,,,
v2005,KR1.4,Pitkäaikaissairaat,Långtidssjuka,People with long-term illnesses,,,
v2006,KR1.5,Ulkosuomalaiset,Utlandsfinländare,Expatriate Finns,,,
v2007,KR1.6,Vammaiset,Handikappade,Disabled people,,,
v2008,KR2,Yritykset ja yhteisöt,Företag och samfund,Businesses and non-government organizations,,,
v2009,KR2.1,Kansainvälistyvät yritykset,Internationalisering av företag,Businesses going international,,,
v2010,KR2.2,Keksijät,Uppfinnare,Inventors,,,
v2011,KR2.3,Kotimarkkinoilla toimivat yritykset,Företag på den inhemska marknaden,Businesses operating in the domestic (Finnish) market,,,
v2012,KR2.4,Suomeen ulkomailta tulevat yrittäjät,Utländska entreprenörer i Finland,Foreign entrepreneurs in Finland,,,
v2013,KR2.5,Suuryritykset,Storföretag,Large companies,,,
v2014,KR2.6,Työnantajat,Arbetsgivare,Employers,,,
v2015,KR2.7,Yhdistykset ja järjestöt,Föreningar och organisationer,Non-government organizations,,,
v2016,KR2.8,Yrityksen perustajat kotimaassa,Inhemska företagsgrundare,Finnish startups,,,
v2017,KR3,Viranomaiset,Myndigheter,Authorities,,,