P1. Boende,P2. Bebyggd miljö,P3. Tjänster för familjer,P4. Socialtjänster,"P5. Hälso- och sjukvård, näring",P6. Utbildning,P7. Rättssäkerhet,P8. Demokrati,P9. Förvaltning (inaktiv),P10. Arbete och arbetslöshet,P11. Näringar,P12. Arbetsgivares tjänster,P13. Pensioner,P14. Beskattning och offentlig ekonomi,P15. Privat ekonomi och finansiering,P16. Trafik,P17. Turism,P18. Kartor,P19. Säkerhet,P20. Ordning,P21. Konsumentärenden,P22. Immigration och emigration,P23. Miljö,"P24. Naturresurser, djur och växter",P25. Kultur,P26. Kommunikation,P27. Motion och friluftsliv
"Denna servicegrupp omfattar hur man söker, hittar och skaffar en bostad, olika boendeformer, ekonomiskt stöd för boende, processer och tjänster i anslutning till flyttning inom Finland samt tjänster som berör befolkningsdatasystemet.",I denna serviceundergrupp behandlas byggnader ämnade för offentligt och boendebruk samt kommunal infrastruktur och dess tjänster allmänt i anslutning till fastigheter och dess bruk.,"I denna servicegrupp behandlas tjänster för barnfamiljer, som i huvudsak omfattar perioden från graviditeten till att en ung person blir myndig. I innehållet i servicegruppen granskas tjänsterna för familjer och situationer ofta via aktörer, situationer och synvinklar.","I den här servicegruppen behandlas både allmänna socialtjänster och socialtjänster för specialgrupper, vilka avsetts som stöd för medborgarnas vardag, boende och försörjning.",I denna serviceundergrupp behandlas både allmänna och hälso- och sjukvårdstjänster för vissa grupper. Till gruppen hör också tjänster i anslutning till läkemedel och näring samt rehabilitering för hälso- och sjukvårdens och medicinska rehabiliteringens del.,"I denna serviceundergrupp behandlas utbildningstjänster som omfattas av den allmänna läroplikten, andra gradens utbildningstjänster, utbildning av högre graden samt vuxen-, fortsättnings- och kompletteringsutbildning. Ekonomiskt stöd för studierna, studier utomlands och tjänster i samband med vetenskapligt arbete hör också till denna grupp.","I denna servicegrupp behandlas service relaterad till grundläggande rättigheter, lagstiftning, rättsprocesser och -instanser, skydd för privatlivet, medborgarskap och minoriteter samt upphovsrätt. Konsumentärenden behandlas inte i denna grupp, utan i en egen huvudgrupp.","Denna servicegrupp omfattar tjänster och information relaterade till representativ demokrati. Fokus ligger på partier, valsystem och röstning samt service som tillhandahålls av medborgarsamhället och tredje sektorn.",Innehållet till denna kategori produceras senare. Använd därför inte kategorin när du beskriver tjänster.,"I denna servicegrupp behandlas jobbsökning och rekrytering, avtal och regler relaterade till arbetslivet, upprätthållande av arbetsförmågan, stöd för arbetslöshetstiden och sysselsättning samt föreningsverksamhet för arbetslösa.",Denna servicegrupp omfattar alla tjänster relaterade till företagsverksamhet från etablering av företag till utveckling av affärsverksamheten och nedläggning av företag.,Huvudgruppen Arbetsgivares tjänster omfattar alla arbetsgivarrelaterade ärenden såsom rekrytering och utveckling av personalen.,I denna servicegrupp behandlas ur ett serviceperspektiv typer av lagstadgade pensioner i Finland samt pensionsskyddet för personer som är permanent bosatta i utlandet med tanke på både finländare bosatta utomlands och invandrare bosatta i Finland.,I denna servicegrupp behandlas de centrala slagen av person- och företagsbeskattningen samt ärenden relaterade till statens och kommunernas ekonomi ur ett serviceperspektiv.,"I denna servicegrupp behandlas privatpersoners och företags finansierings- och skuldfrågor, konkurs och utsökning samt bankernas och finansmarknadens funktion med tanke på insättningar, placeringar och finansiering.","I denna servicegrupp behandlas kollektivtrafik, registrerings-, beskattnings- och tillståndsärenden för fordon, yrkestrafik och trafiksäkerhet ur ett serviceperspektiv. Rese- och karttjänster ingår inte i denna grupp utan behandlas i egna servicegrupper.","I denna servicegrupp behandlas resetjänster, resedokument, gränstjänster, turisters säkerhet och finländska beskickningars tjänster.",I denna servicegrupp behandlas olika karttjänster och tjänster för geodatamaterial.,"I denna servicegrupp behandlas tjänster relaterade till olyckor, brott och säkerhet i kristider med tanke på både medborgarna och samhället. Gruppen omfattar all förebyggande verksamhet, räddningstjänster och verksamhet som fokuserar på hela landets säkerhet.",I denna grupp behandlas upprätthållande av samhällsordningen och säkerheten under normala förhållanden. Gruppen omfattar främst tjänster som tillhandahålls av polisen och andra parter som ansvarar för övervakningen av ordningen.,I denna servicegrupp behandlas konsumentskydd och konsumenters rättigheter inom varuhandel och service samt försäkring.,I denna servicegrupp behandlas utländska medborgares immigration till Finland och finska medborgares emigration till utlandet och återvändande till Finland. Gruppen omfattar lagstadgade förfaranden såsom tillstånd och anmälningar samt dessutom olika slags stöd- och rådgivningstjänster.,I denna servicegrupp behandlas miljörelaterade tjänster med tanke på såväl naturliga miljöer som boendemiljöer och övriga bebyggda miljöer.,I denna servicegrupp behandlas naturresurser såsom växter och djur främst ur produktionsekonomins perspektiv.,"I denna servicegrupp behandlas kulturtjänster på ett omfattande plan inom ramen för olika konstarter, biblioteksväsendet, religiösa samfund och fritt bildningsarbete. Även olika fritidstjänster hör till denna grupp.","I denna servicegrupp behandlas kommunikation utifrån masskommunikation och elektronisk kommunikation, och den omfattar YLE, operatörer, opinionsnämnden för massmedier, yttrandefrihet, integritet, domännamn och posttjänster med tanke på författningar och primärservice. Gruppen omfattar bland annat Rundradion, opinionsnämnden för massmedier, tele- och internetoperatörer samt författningar om kommunikation.","I denna servicegrupp behandlas tjänster relaterade till motion, friluftsliv och fritidsverksamhet ute i naturen."
P1.1. Hyresboende,P2.1. Byggande,P3.1. Parförhållande,P4.1. Boendetjänster,P5.1. Primärvård,P6.1. Förskoleundervisning,P7.1. Medborgarnas grundläggande rättigheter,P8.1. Partier,,P10.1. Jobbsökning och arbetsplatser,P11.1. Etablering av företag,P12.1. Arbetsgivartjänster,P13.1. Folkpension,P14.1. Personbeskattning,P15.1. Ekonomi- och skuldrådgivning för privatpersoner,P16.1. Fordon och registrering för vägtrafik,P17.1. Turism i Finland,P18.1. Kartor och karttjänster,P19.1. Brand- och räddningsverksamhet,P20.1. Övervakning av ordning och tillstånd som beviljas av polisen,P21.1. Konsumentskydd,P22.1. Immigrationstillstånd och handlingar,P23.1. Miljö- och naturskydd,P24.1. Vilda växter och djur,P25.1. Biblioteks- och informationstjänster,P26.1. Massmedier,P27.1. Motion och idrott
"I denna serviceundergrupp behandlas tjänster för hyresbostäders tillgänglighet och prisuppgifter, hyresavtalsärenden, hyrestagarens rättigheter och skyldigheter samt uthyrning och återuthyrning av bostad. Till gruppen hör också tjänster i anslutning till sökande och anskaffande av hyresbostad.","I denna serviceundergrupp behandlas ärenden i samband med byggande utgående från tjänster för en privat byggare. Centrala ärenden är t.ex. bygglov och tillståndsprocesser, sörjande för byggnadstillsyn, renovering och ombyggnad samt skatteärenden i anslutning till byggande.","I denna serviceundergrupp behandlas äktenskap, samboförhållande och registrerat partnerskap, lagstadgade skyldigheter och rättigheter för olika förhållandeformer, eventuella juridiska avtal i anslutning till förhållandet samt processer för att upplösa förhållandet.","Till denna serviceundergrupp hör bostads- och serviceboendelösningar särskilt för äldre och personer med nedsatt funktionsförmåga (subventionerat boende, serviceboende och effektiverat serviceboende), bidrag i samband med dessa samt hjälp- och stödmedel som används hemma. Till denna grupp hör inte t.ex. hem- och hemsjukvårdstjänster, som finns i sina egna grupper.","Denna serviceundergrupp omfattar tjänster som svarar mot definitionen av primärvård: ""Primärvården främjar, stöder och upprätthåller befolkningens hälsa, välfärd och funktionsförmåga genom att erbjuda hälso- och sjukvårdstjänster. Huvudsakliga serviceformer är kommuninvånarnas besök på olika graders skötar- och läkarmottagningar och dygnet runt sjukvård på hälsovårdscentralen. Verksamheten grundar sig i huvudsak på lagstiftning som reglerar den kommunala hälso- och sjukvården.""",Till denna servicearbetsgrupp hör både den egentliga förskoleundervisningen med innehåll och det lokala ordnandet av förskoleundervisning och alternativ med tanke på barnen och deras familjer.,"Denna serviceundergrupp omfattar tjänster som föranleds av Finlands nationella lagstiftning och som anknyter till rösträtt, yttrande-, religions- och mötesfrihet samt national- och minoritetsspråk. Gruppen omfattar också tjänster relaterade till EU-medborgares rättigheter.",Denna serviceundergrupp omfattar ärenden relaterade till grundande och registrering av partier samt partistöd.,,"Denna serviceundergrupp omfattar flera tjänster för arbetslösa. Med hjälp av dem kan arbetssökande bland annat söka lediga arbetsplatser i Finland och utomlands, anmäla sig som arbetslös arbetssökande, skriva CV och lämna öppna ansökningar till rekryteringstjänster. Även tjänster av typen jobbsökningscoachning och arbetskraftsutbildning hör till denna grupp.","Denna underservicegrupp omfattar bidrag, finansiella tjänster och rådgivning samt informationsmöten avsedda för etablering av företag.",Denna underservicegrupp omfattar arbetsgivarrelaterade ärenden såsom arbetsgivarskyldigheter.,Denna underservicegrupp omfattar ärenden relaterade till folkpension och garantipension ur ett serviceperspektiv.,"Denna underservicegrupp omfattar tjänster som anknyter till förskottsskatt på förvärvsinkomst, ändring av skattekort och skattesats, skatteförslag och -avdrag samt skattekalkylatorer. Även kyrkoskatt hör till denna grupp.",Denna serviceundergrupp omfattar tjänster som antingen proaktivt stöder privatpersoners eller hushålls ekonomiplanering och -hantering eller som bistår i betalningsproblem.,"Denna serviceundergrupp omfattar tjänster relaterade till ägande, import och registrering av fordon för vägtrafik samt fordonens trafikduglighet.","Denna serviceundergrupp omfattar informations-, rutt- och logitjänster i Finland.","Denna serviceundergrupp omfattar allmänna elektroniska tjänster, såsom nationella och regionala terräng- och guidekartor, tematiska karttjänster såsom vandringskartor, ruttjänster samt särskilda karttjänster för vatten- och lufttrafik.",Denna serviceundergrupp omfattar lokala och nationella brand- och räddningstjänster.,Denna serviceundergrupp omfattar tjänster relaterade till upprätthållande och övervakning av ordning som utförs av myndigheter och parter som de befullmäktigat. Denna grupp omfattar också tillståndsärenden som polisen ansvarar för.,"Denna serviceundergrupp omfattar konsumenters rättigheter och relaterade informationstjänster, reklamationer, återlämning och behandling av tvister. I gruppen beaktas såväl varuhandel (butiks- och nätinköp) och resetjänster som andra immateriella tjänster.",Denna serviceundergrupp omfattar handlingar som inresa till Finland förutsätter samt ansökan och användning av dem.,"Denna serviceundergrupp omfattar i första hand förfaranden som förebygger miljöolägenheter, såsom reglering av kända skadliga faktorer, skydd av olika arter, etablering av områden i naturtillstånd samt utbildnings- och rådgivningstjänster.","Denna serviceundergrupp omfattar tjänster relaterade till vilda växter och djur, såsom tillstånd, anmälningar om observationer och olika informationstjänster.",Denna serviceundergrupp anknyter till kommunala och nationella allmän- och specialbibliotek samt olika organisationers specialiserade informationstjänster på både webben och serviceställen.,"Denna serviceundergrupp omfattar traditionella massmedier (radio, tv, pressen) med olika tjänster, koncessioner relaterade till massmedier samt frågor om yttrandefrihet.","Denna serviceundergrupp omfattar motionsställen, idrottsinstitut och deras tjänster, informationstjänster för motion samt idrottsföreningars och motionsorganisationers verksamhet."
P1.2. Ägarboende,P2.2. Reparations- och energibidrag,P3.2. Att få barn,P4.2. Äldretjänster,P5.2. Rådgivningstjänster,P6.2. Grundläggande utbildning,P7.2. Lagar och förordningar,P8.2. Val,,P10.2. Yrkesval och karriärplanering,P11.2. Branschspecifika tillstånd och skyldigheter,P12.2. Rekrytering,P13.2. Arbetspensioner,P14.2. Egendomsbeskattning,P15.2. Ekonomi- och skuldrådgivning för företag,P16.2. Körundervisning och körtillstånd i vägtrafik,P17.2. Turism i EU-området,P18.2. Geodatatjänster,P19.2. Befolkningsskydd,P20.2. Ordnande av evenemang,P21.2. Försäkringar,P22.2. Invandrares arbete och studier,P23.2. Avfallshantering,P24.2. Växtproduktion,P25.2. Konst,P26.2. Posttjänster,P27.2. Camping
"Till denna serviceundergrupp hör ärenden i anslutning till finansiering och beskattning, tjänster som gäller uppgifter om försäljningspriser samt affärens villkor och eventuella tvistemål.  Till gruppen hör också tjänster i anslutning till sökande och anskaffande av ägarbostad.","I denna underservicegrupp behandlas ur servicesynpunkt bidrag i anslutning till ombyggnad och till ökningen av byggnadens energieffektivitet, ansökningsprocesser för bidragen och ärendehanteringstjänster i samband med dem.",I denna serviceundergrupp behandlas tjänster för graviditetstiden och barnets babytid och ekonomiska bidrag för familjen. Till denna serviceundergrupp hör också fertilitetsbehandlingar och adoptioner samt ärenden i samband med namngivning.,"Till denna serviceundergrupp hör andra än boendetjänster, bl.a. rehabiliterings-, transport- och väntjänster för de äldre.",I denna serviceundergrupp behandlas kommunens lagstadgade moderskaps- och barnrådgivningstjänster med olika verksamhetsformer.,"Till denna serviceundergrupp hör både den egentliga grundläggande utbildningen med innehåll och mål samt direkta tjänster som erbjuds i anslutning till grundläggande utbildningen och för att stöda den, t.ex. skoltransporter, skolmat och assistanstjänster. Till denna grupp hör också ärenden i anslutning till avläggande av grundläggande utbildning utomlands i enlighet med den finska grundläggande utbildningen.","I denna serviceundergrupp behandlas tjänster, vars syfte är att göra gällande lagstiftning tillgänglig för medborgare, informera om lagstiftningsarbetet och på olika sätt underlätta medborgarnas deltagande i lagstiftningens processer för beredning och hörande.","Denna serviceundergrupp omfattar tjänster och uppföljning relaterade till förutsättningar för rösträtt, förfaranden för kandidatuppställning i nationella och kommunala val eller Europaparlamentsval, information om val till väljare, valfinansiering samt informationstjänster för valresultat.",,I denna serviceundergrupp behandlas tjänster som primärt anlitas antingen i början av arbetskarriären eller i situationer av arbetslösheten för att hjälpa arbetssökande att hitta en lämplig arbets- eller utbildningskarriär. Yrkesvalstjänster för skolelever och studerande finns i en egen undergrupp under huvudgruppen Utbildning.,"Denna underservicegrupp omfattar obligatoriska ärenden relaterade till företagsverksamhet, såsom tillstånd, anmälningar och registrering.",Denna underservicegrupp omfattar tjänster relaterade till rekrytering och löner.,I denna underservicegrupp behandlas arbetsbaserade pensioner ur ett serviceperspektiv: arbetspension samt kommunernas och statens pensioner. Även pensionsförsäkring hör till denna grupp.,"Denna underservicegrupp omfattar tjänster som anknyter till beskattning av egendom. Hit hör bland annat beskattning av arv, gåvor, hyresintäkter, försäljningsvinster och fastigheter. Kalkylatorer för egendomsskatt och motsvarande verktyg hör till denna grupp.","Denna grupp omfattar ärenden relaterade till ekonomiska problem hos företag, såsom sanerings- och skuldrådgivning.","Denna serviceundergrupp omfattar körtillstånd, undervisning och tillståndsexamina för fordon i vägtrafik.",Denna serviceundergrupp omfattar EU-medborgares rättigheter som turist i EU-området samt regler för och begränsningar i privat import och export.,Denna serviceundergrupp omfattar geodatatjänster i dataformat om den bebyggda och naturliga miljön i Finland.,"Denna serviceundergrupp omfattar skyddsrum, utbildning i befolkningsskydd och övriga tjänster och funktioner relaterade till skyddet av befolkningen i krissituationer samt försörjningsberedskap.",I denna serviceundergrupp behandlas tjänster och förpliktande förfaranden relaterade till ordnande av allmänna evenemang och allmänna möten på allmänna platser såsom demonstrationer.,"I denna serviceundergrupp behandlas lagstadgade och frivilliga försäkringar, teckning av och villkor för dem, ersättningsförfaranden och överklagande av försäkringsbeslut.",I denna serviceundergrupp behandlas tillstånd som utländska medborgare behöver för att kunna arbeta eller studera samt utbildnings- och stödtjänster för invandrare på arbetsmarknaden.,"I denna serviceundergrupp behandlas kommunal lagstadgad avfallshantering, lokal forskning i och utredning av avfall samt relaterade informationstjänster.","I denna serviceundergrupp behandlas tjänster relaterade till professionell växtproduktion, såsom produktionsstöd, bekämpning av skadedjur och ersättningar för missväxt.","I denna serviceundergrupp behandlas yrkesutbildning och utbildning på högre stadier som anknyter till utställningar och evenemang som riktar sig till allmänheten och som fokuserar på bildkonst, konstindustri, föreställande konstarter, musik och litteratur samt informationstjänster relaterade till konstsamlingar.",Denna serviceundergrupp omfattar tjänster som fastställts som offentliga enligt lagen om posttjänster.,"I denna serviceundergrupp behandlas användning av naturen för rekreation, vilket omfattar allemansrätt, campingområden och kartor, naturcentraler och nationalparker."
P1.3. Delägar- och bostadsrättsboende,"P2.3. Markanvändning, planering och tomter",P3.3. Fastställande av faderskap,P4.3. Hemvård och hemservice,P5.3. Vaccinationer,P6.3. Morgon- och eftermiddagsverksamhet,P7.3. Rättssäkerhet och lagenlighet,P8.3. Medborgarnas medverkan,,P10.3. Arbetslivets regler och kollektivavtal,P11.3. Utveckling av affärsverksamheten,P12.3. Hushåll som arbetsgivare,P13.3. Invalidpension,P14.3. Fordonsbeskattning,P15.3. Lån och kredituppgifter,P16.3. Trafiksäkerhet och trafikregler i vägtrafik,P17.3. Turism utanför EU-området,,P19.3. Nödnummer och olyckor,P20.3. Hittegods,,P22.3. Språkkurser,P23.3. Vattenförsörjning,P24.3. Produktionsdjur,P25.3. Museer,P26.3. Datakommunikation,P27.3. Båtliv
Till denna serviceundergrupp hör ansöknings- och finansieringsförfaranden i anslutning till dessa boendeformer samt förutsättningar för sökandet. Till gruppen hör också tjänster i anslutning till sökande och anskaffande av delägar- eller bostadsrättsbostad.,"I denna underservicegrupp behandlas landskapsplanering, detaljplaner och stadsplaner, påverkningsmöjligheter för dessa samt affärer med och hyrning av planerad mark och tomter, inklusive företagstomter.",I denna serviceundergrupp behandlas förfaranden och skyldigheter i anslutning till erkännande och fastställande av faderskap.,"Till denna serviceundergrupp hör tjänster som ansluter sig särskilt till hemvård och hemservice för de äldre och personer med funktionsnedsättning och som ger stöd för städning, personlig hygien, matlagning osv. Till denna grupp hör inte egentliga hemsjukvårdstjänster, som finns i sin egen serviceundergrupp.","I denna serviceundergrupp behandlas vaccinationer som primärvårdstjänster, program som hör till folkhälsan och som ett ärende som hör till medborgarens hälsohistoria.",I denna serviceundergrupp behandlas den morgon- och eftermiddagsverksamhet som ordnas av kommunen och vars syfte är att stöda hemmets och skolans uppfostringsarbete och barnets balanserade tillväxt samt erbjuda möjligheter till handledd verksamhet och övervakad vila utanför hemmet.,"Denna serviceundergrupp omfattar tjänster med vars hjälp medborgare kan följa upp myndighetsverksamhetens lagenlighet, läsa offentliga handlingar och anmäla fel i myndigheternas verksamhet. Även skyddet för de grundläggande rättigheterna och behandlingen av brott mot dem hör till denna grupp, liksom också ärenden relaterade till begränsning av företagens rättigheter.",Denna serviceundergrupp omfattar medborgarnas och frivilligorganisationernas politiska och samhälleliga medverkan utanför val ur ett serviceperspektiv. Gruppen omfattar bland annat förfaranden för grundande och registrering av föreningar samt medborgar- och kommuninvånarinitiativ.,,"Denna serviceundergrupp omfattar ärenden relaterade till arbetsavtal och -villkor, löner, jämställdhet och flexibilitet i arbetslivet, såsom distans- och deltidsarbete.","Denna underservicegrupp omfattar bidrag och andra finansiella tjänster som stöder utveckling, program för utveckling av affärsverksamheten och företagsrådgivning.",Denna underservicegrupp omfattar tjänster med vars hjälp hushåll kan låta utföra arbeten i hemmet eller fritidsbostaden och sköta ärenden relaterade till anställdas löner och beskattning samt hushållsavdrag.,Denna underservicegrupp omfattar tjänster relaterade till konstaterande av arbetsoförmåga och olika typer av invalidpension.,Denna underservicegrupp omfattar tjänster som anknyter till engångsskatter på köp och import av bilar och fordon samt skatter relaterade till ägande av fordon (fordonsskatt).,"I denna serviceundergrupp behandlas tjänster som anknyter till upptagande av lån, säkerheter och återbetalning, social kreditgivning och kreditupplysningsregister och betalningsstörningar. Gruppen omfattar också tjänster relaterade till företagens lån.","I denna serviceundergrupp behandlas trafiksäkerhet med tanke på trafikregler, rekommendationer och anvisningar. Gruppen omfattar också trafikinformationstjänster för störningar och risker samt meteorologiska tjänster för trafiken.","Denna serviceundergrupp omfattar bland annat resemeddelanden och rekommenderade vacciner, säkerhetsanvisningar, internationellt körkort, visumpraxis och elektroniska resenärsmeddelanden såsom ESTA och eTA.",,"I denna serviceundergrupp behandlas det allmänna nödnumret 112, olika myndigheters särskilda nödnummer samt räddnings- och kristjänster i samband med olyckor både omedelbart och efter olyckan. Även tjänster som siktar på att förebygga olyckor och olycksutredning hör till denna grupp.","Denna grupp omfattar leverans av hittegods till hittegodstjänster samt förfaranden för förvaring, förfrågningar och överlämnande till ägaren avseende hittegods.",,Denna serviceundergrupp omfattar språkkurser i finska och svenska i synnerhet avsedda för personer som deltar i integrationsprogram men också för andra invandrare i början av vistelsen i Finland samt ansökan till dem.,Denna serviceundergrupp omfattar i första hand ärenden relaterade till hantering av bebyggda miljöers avfallsvatten från såväl affärslokaler och permanenta bostäder som från semester- och fritidsbostäder.,"I denna serviceundergrupp behandlas tjänster relaterade till produktionsdjur, såsom produktionsstöd, anmälningsskyldigheter, ersättningar för djurskador och allmänna skyldigheter avseende djurens välbefinnande.","Denna serviceundergrupp anknyter till museernas fysiska serviceställen och utställningsverksamhet, frågor relaterade till skyddet av byggnadsarvet samt museernas e-tjänster, såsom informationstjänster och digitalisering av kulturarvet.","Denna serviceundergrupp omfattar nätoperatörernas tjänster, information om störningar på nätet, nätsäkerhet, tillgång till och användning av domännamn samt konsumentens ställning som användare av datakommunikationstjänster.","Denna serviceundergrupp omfattar båthamnar och -platser, säkerhet till sjöss, regler och författningar, sjökort och båtförarutbildning."
P1.4. Stöd för boende,P2.4. Fastigheter,P3.4. Barndagvård,P4.4. Andra än boende- och hemservice för personer med funktionsnedsättning,"P5.4. Röntgen, laboratorium och övriga undersökningstjänster",P6.4. Yrkesval och studiehandledning,P7.4. Rättegång och brottsärenden,P8.4. Frivilligorganisationers verksamhet,,P10.4. Arbetsförmåga och yrkesinriktad rehabilitering,P11.4. Utveckling av produkter och tjänster,P12.4. Personalutveckling,P13.4. Finländares pensionsskydd utomlands,P14.4. Företagsbeskattning,P15.4. Konkurs,P16.4. Parkering,,,P19.4. Brott,,,P22.4. Ansökan om medborgarskap,P23.4. Miljöanmälan och -tillstånd,P24.4. Livsmedelsproduktion,P25.4. Arkiv,,P27.4. Jakt
