P1. Boende,P2. Bebyggd miljö,P3. Tjänster för familjer,P4. Socialtjänster,"P5. Hälso- och sjukvård, näring",P6. Utbildning,P7. Rättssäkerhet,P8. Demokrati,P9. Förvaltning (inaktiv),P10. Arbete och arbetslöshet,P11. Näringar,P12. Arbetsgivares tjänster,P13. Pensioner,P14. Beskattning och offentlig ekonomi,P15. Privat ekonomi och finansiering,P16. Trafik,P17. Turism,P18. Kartor,P19. Säkerhet,P20. Ordning,P21. Konsumentärenden,P22. Immigration och emigration,P23. Miljö,"P24. Naturresurser, djur och växter",P25. Kultur,P26. Kommunikation,P27. Motion och friluftsliv
"Till denna serviceundergrupp hör olika typer av stöd, forutsättningar för beviljande av stöd inom olika befolkningsgrupper och situationer samt grunder för storleken på stödet och räknare för beräkning av stöd.",I denna underservicegrupp behandlas ur servicesynvinkeln fastighetsuppgifter samt fastighetsaffärer och -beskattning.,"Till denna serviceundergrupp hör barnets rättigheter i anslutning till dagvård för små barn, förutsättningar för dagvård, ärendehanteringstjänster och ansökningsförfaranden, olika genomföringsformer och servicekanaler för dagvård, vårdavgifter och bidrag i anslutning till dem.","Till denna serviceundergrupp hör andra än boendeservice, bl.a. rehabiliterings-, tolknings- och färdtjänster för personer med funktionsnedsättning.",I denna serviceundergrupp behandlas olika kliniska patientundersökningstjänster som erbjuds på hälso- och sjukvårdens verksamhetsställen. Till denna grupp hör inte undersökningstjänster i anslutning till vetenskaplig forskning.,"Till denna serviceundergrupp hör de tjänster som erbjuds inom ramarna för Finlands utbildningssystem och som guidar, ger råd och handleder elever eller studerande att fatta motiverade beslut för att välja yrke och/eller utbildningsinriktning. Karriärvägledningstjänster för en person som redan är i arbetslivet finns i den egna undergruppen under huvudgruppen Arbete och arbetslöshet.","Denna serviceundergrupp omfattar brottsanmälan, rättsväsendets och åklagarämbetets service, rättshjälp och brottspåföljdsärenden.","Denna serviceundergrupp omfattar ärenden relaterade till organisationers och föreningars verksamhet och dess lagenlighet, såsom tillståndsförfaranden för insamling av namn och medel för kampanjer.",,"I denna serviceundergrupp behandlas tjänster som på ett förebyggande sätt siktar på att upprätthålla arbetsförmågan eller, om arbetsförmågan redan minskat, återställa den genom yrkesinriktad rehabilitering.","Denna underservicegrupp omfattar bidrag och andra finansiella tjänster som stöder företagens utveckling av produkter, produktutvecklingsprogram och rådgivning i anslutning till bland annat uppfinningar patent.",Denna underservicegrupp omfattar tjänster för arbetsgivare som till exempel handlar om utbildning av personalen.,I denna underservicegrupp behandlas pensionskonsekvenserna för finska medborgares arbete utomlands och situationer där personer intjänat pension för arbete i Finland men som senare flyttat utomlands. Gruppen omfattar också pensionsavtal mellan länder och beskattning av pension som intjänats utomlands.,"Denna underservicegrupp omfattar ärenden relaterade till företagsbeskattning, såsom skattedeklarationstjänster.","I denna serviceundergrupp behandlas tjänster relaterade till försättande i konkurs, konkursansökan, konkursombudsmannens uppgifter och olika faser i konkursprocessen. Gruppen omfattar både fysiska personers och företags konkurser.",Denna serviceundergrupp omfattar lokala parkeringsområden och information om dem samt elektroniska parkeringstjänster.,,,"Denna serviceundergrupp omfattar brottsanmälan, tipstelefoner samt rättshjälps- och stödtjänster för offer.",,,"I denna serviceundergrupp behandlas förfaranden, skyldigheter och tjänster relaterade till ansökan om finskt medborgarskap.","Denna serviceundergrupp omfattar anmälnings- och tillståndsförfaranden relaterade till åtgärder som förändrar miljön permanent eller som eventuellt är skadliga för miljön, såsom gruvdrift eller miljöfarliga kemikalier.","Denna serviceundergrupp omfattar tjänster relaterade till bland annat livsmedelssäkerhet, tillsyn av livsmedelsproduktion och ekologisk produktion.","Denna serviceundergrupp omfattar i första hand tjänster som tillhandahålls av Nationalarkivet, landskapsarkiven under Nationalarkivet och övriga arkiv som regleras av författningar.",,"Denna serviceundergrupp omfattar jaktsäsonger och -kvoter, jägarexamina och jaktlicenser, viltvårdsföreningar och anmälan om observationer av stora rovdjur."
P1.5. Flyttning inom Finland och befolkningsuppgifter,P2.5. Kontorslokaler,P3.5. Medling i familjeärenden och familjerätten,P4.5. Personlig assistans,P5.5. Förstahjälpen och jouren,P6.5. Hur man söker till utbildning,P7.5. Datasekretess och personuppgifter,,,P10.5. Arbetarskydd,P11.5. Företagssamarbete och nätverkande,,P13.5. Pensionsskydd för utländska medborgare som är permanent bosatta i Finland,P14.5. Offentlig ekonomi och upphandling,P15.5. Utsökning,P16.5. Kollektivtrafik,,,P19.5. Försvar,,,P22.5. Flyttning från Finland till ett annat nordiskt land,P23.5. Bebyggda miljöer och kulturmiljöer,P24.5. Veterinärtjänster,P25.5. Fritidstjänster,,P27.5. Fiske
"I denna serviceundergrupp behandlas skyldigheter i anslutning till flyttning och anmälnings- och ärendehanteringstjänster samt ärenden i samband med befolkningsdatasystemet, såsom namn och namnändringar, byggnadsuppgifter och spärrmarkeringar.",Till denna serviceundergrupp hör tjänster i anslutning till anskaffning och hyrning av företagens kontorslokaler såsom affärslokaler eller lagerutrymmen.,"I denna serviceundergrupp behandlas medling i familjeärenden med tanke på serviceinnehållet och -syftet, lagenligheten, särskilt familjerätten samt det kommunala utbudet och tillgängligheten.","Till denna serviceundergrupp hör ärenden i anslutning till förutsättningar för att få personlig assistans, tjänstens kostnader och uppgifter. Personlig assistans för både den som bor hemma och för den som bor på ett servicehem hör till denna grupp.",I denna serviceundergrupp behandlas tjänster i anslutning till brådskande vård av patienten och uppsökande av vård.,I denna serviceundergrupp behandlas sökningen till läroverk inom olika utbildningsstader och ärendehanteringstjänster i samband med detta samt förutsättningar för sökande.,"Denna serviceundergrupp omfattar tjänster relaterad till skyddet av personuppgifter och integritet, personbeteckningar och -koder, resedokument och register med personuppgifter samt medborgarnas möjligheter och rättigheter att begränsa användningen av deras personuppgifter.",,,"Denna serviceundergrupp omfattar tjänster som anknyter till lagstadgad arbetarskyddsverksamhet, ordnandet av den på arbetsplatser och anmälan om brister i arbetarskyddet. Även ärenden relaterade till arbetssäkerheten hör till denna grupp, liksom arbetarskyddstjänster avsedda för arbetsgivare. Däremot hör företagshälsovården till en egen undergrupp under huvudgruppen Hälsa, sjukvård och näring.","Denna underservicegrupp omfattar tjänster som främjar företagens nätverkande, värvning av samarbetspartner och verksamhet i gemensamma projekt.",,I denna underservicegrupp behandlas rätten till finländska pensionssystem och -förmåner för utländska medborgare som bor och arbetar i Finland.,I denna underservicegrupp behandlas tjänster som tillhandahåller information om läget för statens och kommunernas ekonomi. Dessutom omfattar denna grupp tjänster som tillhandahålls för företag och andra leverantörer och som hjälper dem att delta i offentliga upphandlingar och få information om dem.,I denna serviceundergrupp behandlas tjänster relaterade till indrivning av betalningar som är obetalda efter en officiell uppmaning via utsökningsmyndigheten.,"Denna serviceundergrupp omfattar tidtabeller, rutter, stationsuppgifter, priser och rabatter relaterade till kollektivtrafik.",,,"I denna serviceundergrupp behandlas värnplikt, tjänster och stödformer för värnpliktiga, sätt på vilka värnplikten kan fullgöras, ersättningar för olyckor i tjänst samt reservistverksamhet, frivilligt försvar och repetitionsövningar.",,,"Denna serviceundergrupp omfattar förfaranden och tjänster som är aktuella vid flyttning från Finland till ett annat nordiskt land. Dessa handlar i allmänhet om flyttningsanmälan, socialskydd och medborgarskap.",I denna serviceundergrupp behandlas tjänster och förfaranden som skyddar värdefulla byggnadsbestånd antingen som enskilda byggnader eller som byggnadshelheter.,"Denna serviceundergrupp omfattar tjänster inom vars ram både produktions- och sällskapsdjur skyddas mot lidande och som främjar djurens hälsa och välbefinnande. Hit hör regionala och lokala veterinärtjänster, förebyggande av sjukdomar, kvaliteten på djurens levnadsförhållanden och vården.","Denna serviceundergrupp omfattar tjänster relaterade till fritiden på ett omfattande plan. Denna grupp omfattar inte motions- och idrottstjänster, som har en egen huvudgrupp.",,Denna serviceundergrupp omfattar fisketillstånd och fiskevårdsavgift samt lokala och säsongsrelaterade begränsningar i fritidsfisket på grund av skydd av fiskarter.
,,P3.6. Socialtjänster för barnfamiljer,P4.6. Familjevård för en person med nedsatt funktionsförmåga eller en äldre person,P5.6. Specialiserad sjukvård,P6.6. Yrkesutbildning på andra stadiet,P7.6. Medborgarskap,,,P10.6. Stöd och förmåner för arbetslösa,P11.6. Internationaliseringstjänster,,,,P15.6. Banker,P16.6. Professionell vägtrafik,,,P19.6. Gränsbevakning,,,P22.6. Flyttning från Finland till ett annat EU-land,P23.6. Miljötillsyn och -hälsovård,"P24.6. Skogs-, vatten och mineralresurser",P25.6. Religioner och livsåskådningar,,
,,I denna serviceundergrupp behandlas ekonomiska bidrag och förmåner särskilt för barnfamiljer samt de hem- och stödtjänster som inte omfattas av familjerådgivningen eller barnskyddet.,"Till denna serviceundergrupp hör familjevårdstjänster särskilt för personer med nedsatt funktionsförmågaeller en äldreperson och som omfattar bl.a. ordnande av tjänster, vårdavtal och utbildning för den som erbjuder tjänsterna.","Tjänster i denna serviceundergrupp behandlas enligt definitionen på specialiserad sjukvård: ""Med specialiserad sjukvård avses undersökningar och vård som ges av specialläkare"". Enligt definitionen hör också obduktioner och patologtjänster till denna grupp.","I denna serviceundergrupp behandlas strukturen på andra gradens yrkesutbildning, examenskrav och utföringssätt för utbildningen. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.",Denna serviceundergrupp omfattar tjänster relaterade till beviljande av finskt medborgarskap och lagliga förutsättningar för detta samt ärenden relaterade till dubbelt medborgarskap.,,,"I denna serviceundergrupp behandlas olika ekonomiska stödformer för arbetslösa arbetssökande, förutsättningar för beviljande av dem och tjänster för ansökan om stöd.","Denna grupp omfattar bidrag och andra finansiella tjänster som stöder internationalisering, rådgivning relaterad till internationalisering och utbildning i internationalisering.",,,,"Denna serviceundergrupp omfattar tjänster relaterade till bankernas in- och utlåning samt placeringsverksamhet, placeringsrådgivning samt tillsynen av bankernas verksamhet.",I denna serviceundergrupp behandlas utbildning av och behörighet för yrkesförare i vägtrafik och andra trafikrelaterade yrken samt specialtransporter.,,,"Denna serviceundergrupp omfattar gränsbevakningsväsendets verksamhet: ärenden relaterade till gränsövergång, gränskontroller, tillstånd för gränszon.",,,"Denna serviceundergrupp omfattar förfaranden och tjänster som är aktuella vid flyttning från Finland till ett annat nordiskt land. Dessa handlar i allmänhet om flyttningsanmälan, socialskydd och medborgarskap.",Denna serviceundergrupp omfattar lagstadgade myndighetsförfaranden med vars hjälp man på kommunnivå tar hand om den naturliga miljöns tillstånd och livsmiljöns sundhet.,I denna serviceundergrupp behandlas tjänster relaterade till utnyttjande av andra resurser än växt- och djurresurser i administrativt eller kommersiellt syfte.,"I denna serviceundergrupp behandlas tjänster som tillhandahålls av folkkyrkor, andra registrerade religiösa samfund och icke-religiösa registrerade livsåskådningsmässiga samfund. Exempel på dessa utgörs av tjänster för anslutning till och utträde ur samfund samt pedagogiska och sociala tjänster.",,
,,P3.7. Rådgivning i uppfostrings- och familjefrågor,P4.7. Omsorgen om utvecklingsstörda,P5.7. Tjänster för missbrukare och mentalvårdstjänster,P6.7. Läroavtal,P7.7. Minoriteter,,,P10.7. Beredskapsarbete,P11.7. Import och export,,,,P15.7. Insättnings- och placeringsskydd,P16.7. Väghållning,,,P19.7. Strålsäkerhet,,,P22.7. Flyttning från Finland till ett land utanför EU,,,P25.7. Fritt bildningsarbete och konstfostran,,
,,"I denna serviceundergrupp behandlas rådgivningstjänster för barnfamiljer, familjernas föräldrar och ungdomar.","Till denna serviceundergrupp hör tjänster för utvecklingsstörda, som omfattar rättigheter, olika rehabiliteringsformer, socialt stöd, boendelösningar och symtomanknuten specialiserad sjukvård.","Tjänster som hör till denna serviceundergrupp har anvisats för personer som insjuknat i missbrukar- och övriga beroendsjukdomar och för de som lider av mentala problem. Gruppens tjänster kan vara såväl vårdande, stödjande som förebyggande.","I denna serviceundergrupp behandlas läroavtalsutbildningen som ett sätt att avlägga en yrkesexamen: utbildningens struktur, avläggande av examen, typ av avtal för utbildningen. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.",Denna serviceundergrupp omfattar tjänster relaterade till minoriteters rättigheter samt likabehandlings- och språklagar.,,,"Denna serviceundergrupp omfattar strukturer, förfaranden och tjänster relaterade till sysselsättning av personer med funktionsnedsättning. Denna grupp omfattar också stöd och rådgivning för arbetsgivare i anslutning till beredskapsarbete.","Denna grupp omfattar till exempel bidrag och andra finansiella tjänster som stöder företagens import- eller exporthandel, rådgivnings- och informationstjänster relaterade till import och export.",,,,I denna serviceundergrupp behandlas tjänster relaterade till insättningsskydd för sparare och småplacerare.,Denna serviceundergrupp omfattar vägarnas underhållsklasser och grundläggande vägunderhåll enligt dem samt förbättringsarbeten på vägar och bidrag för dem.,,,"Denna serviceundergrupp omfattar Strålskyddscentralens mätnings-, rådgivnings- och informationstjänster samt lokala tjänster för mätning av strålning i boendemiljöer.",,,"Denna serviceundergrupp omfattar förfaranden och tjänster som är aktuella vid flyttning från Finland till ett annat nordiskt land. Dessa handlar i allmänhet om flyttningsanmälan, socialskydd och medborgarskap.",,,"Denna serviceundergrupp omfattar instituts- och högskoleundervisning som är öppen för alla, öppen undervisning i olika konstarter samt läroanstalter som ordnar konstfostran för barn och ungdomar.",,
,,P3.8. Barnskydd,P4.8. Ekonomiskt stöd för sysselsättning,P5.8. Hälsoundersökningar,P6.8. Gymnasieutbildning,P7.8. Immateriella rättigheter,,,P10.8. Föreningar och kamratstöd för arbetslösa,P11.8. Ägarbyten,,,,P15.8. Företagsfinansiering,P16.8. Vattentrafik,,,,,,P22.8. Finländare i utlandet,,,,,
,,"I denna serviceundergrupp behandlas tjänster som ansluter sig till förebyggande av familjekriser, en trygg uppväxtmiljö för barn och ungdomar och olika fosterhemslösningar.","Till denna serviceundergrupp hör bl.a. tjänster i anslutning till arbetskraftsutbildning, jobbsökarträning, den arbetslösas frivilliga studier och arbetsverksamhet i rehabiliteringssyfte.","Till denna serviceundergrupp hör både regelbundna hälsoundersökningar (t.ex. i skolan) och godtyckliga hälsoundersökningar (t.ex. i företagshälsovården) och sållningsliknande, sjukdomsbaserade undersökningar, som erbjuds till omfattande befolkningsgrupper.","Till denna serviceundergrupp hör gymnasieutbildningens innehåll och syfte, hur man söker till gymnasieutbildningen, sätt att genomföra gymnasieutbildning samt studentexamen. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.","Denna grupp omfattar ärenden relaterade till upphovsrätt och industriella rättigheter. Immateriella rättigheter skyddar bland annat konstverk, teknik, design och varumärken.",,,Denna serviceundergrupp omfattar de tjänster och verksamhetsformer som produceras av tredje sektorn och som syftar till att stödja arbetslösas jobbsökning och bevara deras funktionsförmåga.,"Denna grupp omfattar ärenden relaterade till processer för byte av ägare, såsom köp och försäljning av företag, generationsväxling och relaterade tjänster.",,,,"Denna grupp omfattar alla ärenden relaterade till företagsfinansiering såsom företagsstöd, utvecklingsbidrag, lån, garantier samt projekt- och internationaliseringsfinansiering.","Denna serviceundergrupp omfattar behörighets- och säkerhetskrav på vattenfordon, registrerings- och innehavsärenden, hamntjänster för fartyg, säkerhet i vattentrafik och förarbehörighet och -tillstånd för vissa fartygstyper.",,,,,,Denna serviceundergrupp omfattar tjänster som i synnerhet är avsedda för finska medborgare som bor utomlands.,,,,,
,,P3.9. Underhåll,P4.9. Socialtjänster för skol- och studerandevård,P5.9. Skol- och studerandehälsovården,P6.9. Högskoleutbildning,P7.9. Intressebevakning,,,,P11.9. Nedläggning av företagsverksamhet,,,,P15.9. Finansmarknaden,P16.9. Luftfart,,,,,,P22.9. Återvändande,,,,,
,,I denna serviceundergrupp behandlas både underhåll som betalas av den underhållsskyldiga och underhållsbidrag som beviljas av Fpa.,Till denna underservicegrupp hör socialtjänster som är avsedda för skolelever och studeranden på heltid såsom skolkuratortjänster samt tjänster som stöder studeranden inom andra gradens utbildning och yrkesutbildning på högre nivå att klara sig i vardagen. Sådana är t.ex. kamratstöd och rådgivningstjänster som inte är hälso- eller sjukvårdstjänster.,Till denna serviceundergrupp hör hälsovårdstjänster för skolelever och studeranden på heltid. Till gruppen hör inte socialtjänster för dessa grupper.,"Till denna serviceundergrupp hör innehåll och syfte för en utbildning av högre nivå, hur man söker till utbildning av högre nivå samt examenskrav och -strukturer. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.",Denna serviceundergrupp omfattar tjänster relaterade till bevakning av omyndiga medborgares intressen och processer för befullmäktigande.,,,,Denna grupp omfattar tjänster för nedläggning av företagsverksamhet.,,,,"Denna serviceundergrupp omfattar tjänster relaterade till utlåning och placeringsrådgivning utanför bankerna, tillsyn av denna verksamhet samt konsumenternas rättigheter som användare av dessa tjänster. Gruppen omfattar också informationstjänster relaterade till räntenivån.","Denna serviceundergrupp omfattar flygutbildning och flyglicenser, utbildning i flygledaruppgifter, registrerings- och innehavsärenden för luftfartyg, säkerhet i luftfart och flygplatstjänster för flygare.",,,,,,Denna serviceundergrupp omfattar förfaranden och tjänster som tillämpas när en finsk medborgare återvänder till Finland efter att ha varit permanent bosatt i utlandet.,,,,,
,,,P4.10. Inkomststöd,P5.10. Mun- och tandhälsovård,P6.10. Vuxen- och kompletteringsutbildning,,,,,,,,,,,,,,,,,,,,,
,,,"I denna serviceundergrupp behandlas ärenden i samband med inkomststöd, t.ex. olika stödformer, förutsättningar för beviljande, grunder för uträkning av stöd och ansökningsförfaranden.","Till denna serviceundergrupp hör tjänster i samband med mun- och tandhälsovård såsom kontroller, tandläkarens och -munhygienistens vårdåtgärder samt specialtandläkartjänster såsom ortodonti.","I denna serviceundergrupp behandlas fortsättnings- och kompletteringsutbildning för i första hand personer i arbetsför ålder som stöder utförandet av det nuvarande arbetet eller byte av yrke. Till gruppen hör former av vuxen- och kompletteringsutbildning, hur man söker till utbildningen, läroverk som ger utbildning och examensstrukturer. Även den vuxen- och kompletteringsutbildning som företaget erbjuder eller stöder för personalen hör till denna grupp.",,,,,,,,,,,,,,,,,,,,,
,,,P4.11. Integration,P5.11. Egen- och självvård,P6.11. Företagsutbildning,,,,,,,,,,,,,,,,,,,,,
,,,"Till denna serviceundergrupp hör i första hand tjänster som gäller lagstiftningen om främjande av integration. Sådana är bl.a. språkkurser, integrationsutbildning, arbetskraftstjänster, stöd för minderåriga invandrare osv.",Till denna servicearbetsgrupp hör tjänster vars syfte är att möjliggöra och stöda klienten att själv vårda sjukdomen som konstaterats till den del det är möjligt enligt vårdanvisningarna.,Till denna grupp hör utbildnings- och skolningsevenemang som företagen arrangerar eller skaffar själva för att utveckla personalens kompetens samt rådgivningstjänster i samband med sådana ärenden.,,,,,,,,,,,,,,,,,,,,,
,,,P4.12. Stöd av likställda och frivilligverksamhet inom socialtjänsterna,P5.12. Företagshälsovården,P6.12. Företagarutbildning,,,,,,,,,,,,,,,,,,,,,
,,,"Till denna servicearbetsgrupp hör stöd av likställda som erbjuds klienten som socialtjänst samt övriga socialtjänster som stöder sig på frivilligverksamhet. Verksamheten med stöd av likställda är en socialtjänst som erbjuds en individ eller en grupp, där en klient hos socialtjänsten får stöd och handledning av människor i en liknande livssituation eller som har likadana personliga erfarenheter. Service som bygger på stöd av likställda erbjuds bl.a. för ett barn som behöver specialstöd eller dennes familj för att trygga barnets hälsa eller utveckling. Av övriga socialtjänster kan t.ex. stödförhållandeverksamhet och tjänster som stöder rörlighet genomföras med hjälp av frivilligverksamhet.","I denna serviceundergrupp behandlas de tjänster som arbetsgivaren ordnar för att upprätthålla arbetstagarnas arbetsförmåga, för att främja hälsan och för att förebygga arbetsrelaterade sjukdomar.",Till denna grupp hör ärenden i anslutning till utbildning i entreprenörskap och företagarskolning.,,,,,,,,,,,,,,,,,,,,,
,,,P4.13. Socialtjänsternas rådgivnings- och handledningstjänster,P5.13. Rehabilitering,P6.13. Studier utomlands,,,,,,,,,,,,,,,,,,,,,
,,,"Till denna serviceundergrupp hör allmän rådgivning och handledning gällande socialtjänster som erbjuds medborgarna samt stöd till socialtjänstklienter i frågor som gäller socialtjänster, t.ex. rättsskydd och kundförhållande. Till exempel socialombudsmannens verksamhet hör till denna grupp.","I denna serviceundergrupp behandlas lagstadgade och övriga tjänster vars primära syfte är att återställa personens arbets- eller funktionsförmåga, som av olika anledningar blivit nedsatt, med hjälp av olika terapeutiska och/eller medicinska metoder.",I denna serviceundergrupp behandlas genomförande av i första hand andra gradens studier och studier av högre nivå utomlands antingen genom utbytesprogram eller inom ramen för något annat förfarande. Till detta anknyter ansökningsförfaranden och godkännandet av examen som avlagts utomlands samt deras motsvarigheter i Finland.,,,,,,,,,,,,,,,,,,,,,
,,,P4.14. Socialtjänsternas sido- och stödtjänster,P5.14. Hemsjukvård och närståendevård,P6.14. Stöd för studier,,,,,,,,,,,,,,,,,,,,,
,,,"Till denna serviceundergrupp hör tjänster som kompletterar socialtjänster, med hjälp av vilka man stöder serviceenhetens grunduppgift, kundens vardag och socialtjänsternas tillgänglighet. Sådana är bl.a. måltidstjänster, klädvårdstjänster, städningstjänster, tjänster som främjar social växelverkan och elektroniska servicekanaler för serviceenhetens klienter.","I denna serviceundergrupp behandlas hemsjukvård som en tjänst som stöder patientens boende hemma. Till detta hör både hemsjukvårdsfunktioner och hemvårdsstöd och dess ansökningsförfaranden. Till denna grupp hör också närståendevård och närståendevårdarens arvoden och förmåner, rätt till familjeledighet samt avtal om närståendevård.","Till denna serviceundergrupp hör ekonomiska stödformer för den studerande, ansökningsprocesser och -tjänster för stöd samt förutsättningar för beviljande av stöd. Gruppen omfattar alla utbildningsnivåer där den studerande kan få offentligt ekonomiskt stöd.",,,,,,,,,,,,,,,,,,,,,
,,,,P5.15. Läkemedel och apotek,P6.15. Vetenskap och undersökning,,,,,,,,,,,,,,,,,,,,,
,,,,"Till denna serviceundergrupp hör ärenden i samband med information om läkemedel, läkemedelsrecept, läkemedelsersättning och behandling av läkemedelsskador.","Till denna serviceundergrupp hör tjänster i samband med vetenskapligt forskningsarbete, särskilt beträffande forskningens finansiering, förfaranden angående forskningstillstånd samt publikationsverksamhet.",,,,,,,,,,,,,,,,,,,,,
,,,,P5.16. Hälsovårdens stöd av likställda och frivilligverksamhet,,,,,,,,,,,,,,,,,,,,,,
,,,,"Till denna serviceundergrupp hör både stödverksamhet av likställda (stöd och handledning som grundar sig på frivillighet och som personer eller grupper som lever med en viss sjukdom eller har erfarit den själva erbjuder andra i samma situation) och frivilligverksamhet (stöd och handledning som baserar sig på frivillighet, som personer eller samfund ger insjuknade personer utan arrangemang av stöd av likställda). Stödverksamhet av likställda ges bl.a. för hasardspelproblem, infertilitet, närståendevård, missbruksproblem, sjukdomar, sexualitet, sorgearbete, ätstörningar, att sluta röka eller stöd av likställda när det gäller en skada.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.17. Hälsovårdens rådgivnings- och handledningstjänster,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tjänster i anslutning till en separat servicehändelse, besök till en serviceenhet eller tjänster i samband med en servicehelhet eller dess hantering, med hjälp av vilken klienten får rådgivning och handledning när han eller hon söker hälsovårdstjänster i problemsituationer. Sådana är t.ex. patientombudsmannens tjänster, tidsbeställningar, påminnelsetjänster, egenvårdstjänster och servicestyrning.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.18. Hälsovårdens stödtjänster,,,,,,,,,,,,,,,,,,,,,,
,,,,"Klient- och patienttjänster som stöder serviceenhetens grunduppgift eller en individuell klient och som utgörs av tjänster i anslutning till exempelvis inkvartering, näring, rekreation och tillgång till information för serviceenhetens klienter och patienter.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.19. Patientombudsmannen och patientens rättigheter,,,,,,,,,,,,,,,,,,,,,,
,,,,Till denna serviceundergrupp hör patientombudsmannens tjänster samt de data- och övriga tjänster genom vilka och inom ramen för vilka patienten kan utöva sina rättigheter.,,,,,,,,,,,,,,,,,,,,,,
,,,,P5.20. Näring,,,,,,,,,,,,,,,,,,,,,,
,,,,I denna serviceundergrupp behandlas ärenden i anslutning till näring som upprätthåller hälsan såsom näringsrekommendationer och näringsrådgivning.,,,,,,,,,,,,,,,,,,,,,,
,,,,P5.21. Livsmedelssäkerhet,,,,,,,,,,,,,,,,,,,,,,
,,,,Till denna serviceundergrupp hör ärenden i anslutning till näringssäkerhet samt livsmedelsövervakning och -information. Denna grupp innehåller också tillstånd och anmälningar i anslutning till livsmedelssäkerhet som behövs inom företagsverksamhet.,,,,,,,,,,,,,,,,,,,,,,